codigo_produto,nome_produto,quantidade_vendida,receita_total,num_pedidos
21755,LOVE BUILDING BLOCK WORD,2007,12412.06,631
22427,ENAMEL FLOWER JUG CREAM,2067,12403.36,522
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24719,12170.77,875
48188,DOORMAT WELCOME PUPPIES,2059,12066.97,290
22424,ENAMEL BREAD BIN CREAM,845,12015.73,471
23174,REGENCY SUGAR BOWL GREEN,2967,11997.23,339
47590B,PINK HAPPY BIRTHDAY BUNTING,2297,11926.02,397
22568,FELTCRAFT CUSHION OWL,3215,11873.23,477
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,2993,11761.92,489
22158,3 HEARTS HANGING DECORATION RUSTIC,3388,11725.630000000001,311
22193,RED DINER WALL CLOCK,1376,11664.12,469
22087,PAPER BUNTING WHITE LACE,4006,11648.78,334
82486,WOOD S/3 CABINET ANT WHITE FINISH,1373,11636.23,419
23300,GARDENERS KNEELING PAD CUP OF TEA,6657,11554.39,765
22692,DOORMAT WELCOME TO OUR HOME,1524,11515.210000000001,450
21936,RED RETROSPOT PICNIC BAG,3929,11508.09,543
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,7091,11464.86,265
21217,RED RETROSPOT ROUND CAKE TINS,1079,11432.89,351
22502,PICNIC BASKET WICKER SMALL,1830,11404.02,471
23581,JUMBO BAG PAISLEY PARK,4898,11357.07,342
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",2112,11304.31,440
21080,SET/20 RED RETROSPOT PAPER NAPKINS,13187,11298.11,988
22730,ALARM CLOCK BAKELIKE IVORY,2835,11265.9,583
22041,"RECORD FRAME 7"" SINGLE SIZE",4336,11260.81,365
22356,CHARLOTTE BAG PINK POLKADOT,9452,11216.21,760
21481,FAWN BLUE HOT WATER BOTTLE,3220,11204.27,497
22149,FELTCRAFT 6 FLOWER FRIENDS,5447,11198.78,556
22605,WOODEN CROQUET GARDEN SET,774,11179.21,306
B,ADJUST BAD DEBT,1,11062.06,1
22413,METAL SIGN TAKE IT OR LEAVE IT,3756,11042.84,415
22662,LUNCH BAG DOLLY GIRL DESIGN,6689,11032.83,690
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,947,11001.82,297
20711,JUMBO BAG TOYS,4986,10974.31,530
85014B,RED RETROSPOT UMBRELLA,1908,10940.300000000001,352
23209,LUNCH BAG VINTAGE DOILY,6512,10737.8,608
22988,SOLDIERS EGG CUP,8961,10725.53,426
22617,BAKING SET SPACEBOY DESIGN,2181,10602.9,480
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1318,10602.66,283
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,3231,10523.34,426
23209,LUNCH BAG DOILEY PATTERN,6547,10495.59,496
21791,VINTAGE HEADS AND TAILS CARD GAME,7829,10459.4,611
21891,TRADITIONAL WOODEN SKIPPING ROPE,8085,10445.53,432
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16332,10442.2,633
47590A,BLUE HAPPY BIRTHDAY BUNTING,1966,10376.95,393
22570,FELTCRAFT CUSHION RABBIT,2841,10372.62,389
23208,LUNCH BAG VINTAGE LEAF DESIGN,6235,10332.06,672
21914,BLUE HARMONICA IN BOX,7840,10294.81,605
84997B,CHILDRENS CUTLERY RETROSPOT RED,2628,10294.36,263
22846,BREAD BIN DINER STYLE RED,639,10259.92,296
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,8620,10191.48,357
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2576,10127.86,235
82600,NO SINGING METAL SIGN,4750,10120.460000000001,500
22970,LONDON BUS COFFEE MUG,4318,10107.0,320
22169,FAMILY ALBUM WHITE PICTURE FRAME,1165,10088.21,389
23170,REGENCY TEA PLATE ROSES,6139,10050.95,457
22621,TRADITIONAL KNITTING NANCY,6097,9988.9,613
23582,VINTAGE DOILY JUMBO BAG RED,4681,9983.73,262
22633,HAND WARMER UNION JACK,4825,9969.12,486
20679,EDWARDIAN PARASOL RED,1701,9967.87,329
48173C,DOORMAT BLACK FLOCK,1794,9959.710000000001,191
22556,PLASTERS IN TIN CIRCUS PARADE,6047,9952.96,581
21218,RED SPOTTY BISCUIT TIN,2384,9951.24,405
23171,REGENCY TEA PLATE GREEN,6150,9905.74,386
23076,ICE CREAM SUNDAE LIP GLOSS,8048,9900.76,279
22690,DOORMAT HOME SWEET HOME BLUE,1615,9895.4,290
22619,SET OF 6 SOLDIER SKITTLES,2559,9880.04,448
22555,PLASTERS IN TIN STRONGMAN,5989,9807.18,519
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,3921,9700.13,585
22654,DELUXE SEWING KIT,1378,9699.65,342
22791,T-LIGHT GLASS FLUTED ANTIQUE,7778,9681.130000000001,355
23240,SET OF 4 KNICK KNACK TINS DOILY,2325,9614.83,363
22766,PHOTO FRAME CORNICE,3214,9598.74,520
22560,TRADITIONAL MODELLING CLAY,8143,9571.26,390
22144,CHRISTMAS CRAFT LITTLE FRIENDS,4029,9569.880000000001,547
21314,SMALL GLASS HEART TRINKET POT,4107,9528.83,581
22569,FELTCRAFT CUSHION BUTTERFLY,2565,9452.45,351
22844,VINTAGE CREAM DOG FOOD CONTAINER,975,9433.52,424
21174,POTTERING IN THE SHED METAL SIGN,4175,9405.76,538
35970,ZINC FOLKART SLEIGH BELLS,4977,9391.56,462
85150,LADIES & GENTLEMEN METAL SIGN,4032,9371.130000000001,482
23175,REGENCY MILK JUG PINK,3080,9361.65,340
22952,60 CAKE CASES VINTAGE CHRISTMAS,15720,9358.47,622
84375,SET OF 20 KIDS COOKIE CUTTERS,4299,9355.85,520
22561,WOODEN SCHOOL COLOURING SET,5607,9336.57,436
22978,PANTRY ROLLING PIN,2389,9292.37,250
22191,IVORY DINER WALL CLOCK,1101,9257.95,431
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2362,9216.16,449
22456,NATURAL SLATE CHALKBOARD LARGE,1659,9207.87,508
22966,GINGERBREAD MAN COOKIE CUTTER,7435,9195.9,672
22992,REVOLVER WOODEN RULER,4517,9180.59,356
20972,PINK CREAM FELT CRAFT TRINKET BOX,7313,9098.06,618
84991,60 TEATIME FAIRY CAKE CASES,18015,9074.27,836
48116,DOORMAT MULTICOLOUR STRIPE,1488,9056.53,203
22776,SWEETHEART CAKESTAND 3 TIER,889,9044.25,406
23080,RED METAL BOX TOP SECRET,1063,9026.87,264
22759,SET OF 3 NOTEBOOKS IN PARCEL,5411,8987.84,424
23319,BOX OF 6 MINI 50'S CRACKERS,3604,8974.56,409
22729,ALARM CLOCK BAKELIKE ORANGE,2292,8953.06,462
22989,SET 2 PANTRY DESIGN TEA TOWELS,2787,8921.27,376
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6509,8892.94,445
23439,HAND WARMER RED LOVE HEART,3986,8855.51,397
82582,AREA PATROLLED METAL SIGN,4346,8818.890000000001,441
21889,WOODEN BOX OF DOMINOES,6365,8814.79,590
23318,BOX OF 6 MINI VINTAGE CRACKERS,3641,8793.7,383
21155,RED RETROSPOT PEG BAG,2917,8785.7,498
23322,LARGE WHITE HEART OF WICKER,3006,8708.36,572
22632,HAND WARMER RED RETROSPOT,4319,8698.68,382
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,10442,8646.97,366
22947,WOODEN ADVENT CALENDAR RED,740,8641.32,141
22652,TRAVEL SEWING KIT,5077,8587.32,472
23078,ICE CREAM PEN LIP GLOSS,6783,8493.34,259
22795,SWEETHEART RECIPE BOOK STAND,1194,8492.8,371
22273,FELTCRAFT DOLL MOLLY,3062,8488.94,336
23493,VINTAGE DOILY TRAVEL SEWING KIT,3958,8486.58,418
71459,HANGING JAM JAR T-LIGHT HOLDER,10666,8457.51,358
23082,SET 6 PAPER TABLE LANTERN HEARTS,2300,8455.6,303
84378,SET OF 3 HEART COOKIE CUTTERS,6260,8428.4,689
21213,PACK OF 72 SKULL CAKE CASES,15121,8388.19,664
23321,SMALL WHITE HEART OF WICKER,4677,8374.19,633
21484,CHICK GREY HOT WATER BOTTLE,1824,8347.82,404
21210,SET OF 72 RETROSPOT PAPER  DOILIES,5675,8194.74,458
23256,CHILDRENS CUTLERY SPACEBOY,1989,8179.67,368
72741,GRAND CHOCOLATECANDLE,5933,8159.75,300
22838,3 TIER CAKE TIN RED AND CREAM,561,8093.51,182
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,5724,8054.8099999999995,696
22192,BLUE DINER WALL CLOCK,933,8020.99,372
21035,SET/2 RED RETROSPOT TEA TOWELS,2399,7986.85,396
22725,ALARM CLOCK BAKELIKE CHOCOLATE,1932,7973.6,441
22616,PACK OF 12 LONDON TISSUES,26299,7967.82,515
21121,SET/10 RED POLKADOT PARTY CANDLES,6534,7908.85,382
22768,FAMILY PHOTO FRAME CORNICE,831,7903.29,285
71053,WHITE METAL LANTERN,1836,7898.0,316
21770,OPEN CLOSED METAL SIGN,1632,7894.2300000000005,389
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,8717,7845.99,617
22352,LUNCH BOX WITH CUTLERY RETROSPOT,3072,7820.17,491
22667,RECIPE BOX RETROSPOT,2801,7819.750000000001,485
22940,FELTCRAFT CHRISTMAS FAIRY,1881,7790.75,326
21136,PAINTED METAL PEARS ASSORTED,4678,7777.93,372
22557,PLASTERS IN TIN VINTAGE PAISLEY,4685,7717.69,570
23238,SET OF 4 KNICK KNACK TINS LONDON,1833,7706.01,282
21908,CHOCOLATE THIS WAY METAL SIGN,3745,7697.620000000001,471
48111,DOORMAT 3 SMILEY CATS,1171,7692.58,235
22487,WHITE WOOD GARDEN PLANT LADDER,759,7676.48,446
22968,ROSE COTTAGE KEEPSAKE BOX,774,7663.13,199
23007,SPACEBOY BABY GIFT SET,492,7640.049999999999,187
84970S,HANGING HEART ZINC T-LIGHT HOLDER,8854,7630.11,543
23204,CHARLOTTE BAG APPLES DESIGN,7790,7603.6,591
47566B,TEA TIME PARTY BUNTING,955,7582.320000000001,372
21955,DOORMAT UNION JACK GUNS AND ROSES,1228,7580.82,206
22147,FELTCRAFT BUTTERFLY HEARTS,5349,7517.49,489
22585,PACK OF 6 BIRDY GIFT TAGS,6177,7491.639999999999,398
84406B,CREAM CUPID HEARTS COAT HANGER,1973,7490.67,290
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2343,7488.03,499
22750,FELTCRAFT PRINCESS LOLA DOLL,1995,7469.33,415
22367,CHILDRENS APRON SPACEBOY DESIGN,3717,7440.33,563
21231,SWEETHEART CERAMIC TRINKET BOX,5897,7429.2,536
22627,MINT KITCHEN SCALES,844,7404.68,375
21668,RED STRIPE CERAMIC DRAWER KNOB,5410,7378.49,447
22381,TOY TIDY PINK POLKADOT,3412,7377.29,476
84836,ZINC METAL HEART DECORATION,5902,7374.32,537
22741,FUNKY DIVA PEN,8496,7320.509999999999,236
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,1858,7292.43,223
21169,YOU'RE CONFUSING ME METAL SIGN,4395,7272.55,455
84949,SILVER HANGING T-LIGHT HOLDER,4526,7210.29,325
23240,SET OF 4 KNICK KNACK TINS DOILEY,1796,7153.74,189
22631,CIRCUS PARADE LUNCH BOX,3647,7135.219999999999,402
22485,SET OF 2 WOODEN MARKET CRATES,520,7113.849999999999,212
22505,MEMO BOARD COTTAGE DESIGN,1452,7059.67,316
21912,VINTAGE SNAKES & LADDERS,1788,7047.7,398
23083,SET 6 PAPER TABLE LANTERN STARS,1869,7036.7300000000005,249
22663,JUMBO BAG DOLLY GIRL DESIGN,3408,7029.75,452
23320,GIANT 50'S CHRISTMAS CRACKER,2648,7016.0,335
21258,VICTORIAN SEWING BOX LARGE,474,6995.05,182
22553,PLASTERS IN TIN SKULLS,4182,6993.5199999999995,568
C2,CARRIAGE,140,6986.0,143
21259,VICTORIAN SEWING BOX SMALL,1163,6985.0,293
21669,BLUE STRIPE CERAMIC DRAWER KNOB,5172,6976.14,435
22637,PIGGY BANK RETROSPOT,2707,6974.98,353
23293,SET OF 12 FAIRY CAKE BAKING CASES,8439,6962.98,557
21922,UNION STRIPE WITH FRINGE  HAMMOCK,899,6944.360000000001,209
21094,SET/6 RED SPOTTY PAPER PLATES,8758,6933.259999999999,527
21165,BEWARE OF THE CAT METAL SIGN,4142,6915.42,450
22333,RETROSPOT PARTY BAG + STICKER SET,4410,6908.639999999999,329
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1049,6858.95,270
21326,AGED GLASS SILVER T-LIGHT HOLDER,10514,6845.62,345
22767,TRIPLE PHOTO FRAME CORNICE,739,6825.3,235
23215,JINGLE BELL HEART ANTIQUE SILVER,3444,6823.6,211
84997A,CHILDRENS CUTLERY POLKADOT GREEN,1715,6814.47,189
21257,VICTORIAN SEWING BOX MEDIUM,676,6813.0199999999995,266
22109,FULL ENGLISH BREAKFAST PLATE,1608,6806.76,302
22834,HAND WARMER BABUSHKA DESIGN,4738,6799.28,375
22946,WOODEN ADVENT CALENDAR CREAM,436,6792.47,144
22634,CHILDS BREAKFAST SET SPACEBOY,722,6779.45,245
22839,3 TIER CAKE TIN GREEN AND CREAM,431,6772.37,211
22620,4 TRADITIONAL SPINNING TOPS,4880,6769.3099999999995,486
22294,HEART FILIGREE DOVE  SMALL,5423,6762.58,302
23297,SET 40 HEART SHAPE PETIT FOUR CASES,4277,6749.33,165
23541,WALL ART CLASSIC PUDDINGS,862,6746.21,151
22840,ROUND CAKE TIN VINTAGE RED,893,6745.79,286
21787,RAIN PONCHO RETROSPOT,8347,6741.099999999999,246
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1815,6737.52,307
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,4933,6698.45,416
23254,CHILDRENS CUTLERY DOLLY GIRL,1647,6670.71,299
84988,SET OF 72 PINK HEART PAPER DOILIES,4298,6652.4,512
23480,MINI LIGHTS WOODLAND MUSHROOMS,1779,6651.04,217
22950,36 DOILIES VINTAGE CHRISTMAS,4847,6648.08,180
85014A,BLACK/BLUE POLKADOT UMBRELLA,1157,6643.02,279
75049L,LARGE CIRCULAR MIRROR MOBILE,6874,6608.78,225
21888,BINGO SET,1676,6603.29,385
23008,DOLLY GIRL BABY GIFT SET,426,6600.96,137
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1321,6589.97,220
23247,BISCUIT TIN 50'S CHRISTMAS,2148,6562.71,314
20718,RED RETROSPOT SHOPPER BAG,4734,6561.3,580
22580,ADVENT CALENDAR GINGHAM SACK,1254,6533.24,251
22668,PINK BABY BUNTING,2119,6520.97,348
23229,VINTAGE DONKEY TAIL GAME,1804,6509.28,257
21533,RETROSPOT LARGE MILK JUG,1319,6503.820000000001,350
84992,72 SWEETHEART FAIRY CAKE CASES,13189,6470.639999999999,619
23311,VINTAGE CHRISTMAS STOCKING,2375,6449.95,348
23553,LANDMARK FRAME CAMDEN TOWN,568,6444.65,68
22508,DOORSTOP RETROSPOT HEART,1572,6443.38,300
84946,ANTIQUE SILVER TEA GLASS ETCHED,4526,6438.01,220
23134,LARGE ZINC HEART WALL ORGANISER,1065,6431.110000000001,38
22141,CHRISTMAS CRAFT TREE TOP ANGEL,2775,6430.1900000000005,461
21122,SET/10 PINK POLKADOT PARTY CANDLES,5276,6427.29,347
22991,GIRAFFE WOODEN RULER,3173,6418.99,280
23103,JINGLE BELL HEART DECORATION,3792,6412.96,359
23571,TRADITIONAL NAUGHTS & CROSSES,2841,6406.91,257
22804,CANDLEHOLDER PINK HANGING HEART,2239,6403.39,403
84030E,ENGLISH ROSE HOT WATER BOTTLE,1494,6401.94,336
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,6052,6400.12,458
22655,VINTAGE RED KITCHEN CABINET,50,6394.5,46
20676,RED RETROSPOT BOWL,5001,6347.31,451
23307,SET OF 60 PANTRY DESIGN CAKE CASES,11961,6323.49,634
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,2052,6316.6,285
21380,WOODEN HAPPY BIRTHDAY GARLAND,2164,6304.56,291
21935,SUKI  SHOULDER BAG,3392,6296.96,531
22979,PANTRY WASHING UP BRUSH,3999,6274.2699999999995,386
23172,REGENCY TEA PLATE PINK,3759,6190.11,314
22303,COFFEE MUG APPLES DESIGN,2742,6167.1,271
22784,LANTERN CREAM GAZEBO,1231,6160.14,326
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,693,6121.79,207
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,3513,6109.29,347
21154,RED RETROSPOT OVEN GLOVE,3822,6093.51,455
21975,PACK OF 60 DINOSAUR CAKE CASES,12241,6066.45,604
47591D,PINK FAIRY CAKE CHILDRENS APRON,3205,6048.55,441
47556B,TEA TIME TEA TOWELS,2600,6045.0,2
21156,RETROSPOT CHILDRENS APRON,3131,6015.05,366
22151,PLACE SETTING WHITE HEART,14236,6000.25,337
23534,WALL ART STOP FOR TEA,862,5994.55,220
