codigo_produto,nome_produto,quantidade_devolvida,valor_devolvido,num_devolucoes
23170,REGENCY TEA PLATE ROSES,-718,-1046.3,12
23203,JUMBO BAG VINTAGE DOILY,-568,-1030.6399999999999,13
22960,JAM MAKING SET WITH JARS,-247,-1012.79,87
22752,SET 7 BABUSHKA NESTING BOXES,-124,-952.0000000000001,5
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,-351,-931.45,12
82494L,WOODEN FRAME ANTIQUE WHITE,-353,-910.95,16
22501,PICNIC BASKET WICKER LARGE,-100,-873.1999999999999,17
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,-110,-859.35,16
20725,LUNCH BAG RED RETROSPOT,-574,-854.7,43
22920,HERB MARKER BASIL,-1527,-841.0500000000001,2
22570,FELTCRAFT CUSHION RABBIT,-245,-832.35,3
22386,JUMBO BAG PINK POLKADOT,-456,-816.58,13
22656,VINTAGE BLUE KITCHEN CABINET,-6,-800.0,6
21069,VINTAGE BILLBOARD TEA MUG,-701,-743.0600000000001,1
21871,SAVE THE PLANET MUG,-685,-740.94,12
22720,SET OF 3 CAKE TINS PANTRY DESIGN,-154,-730.1,73
22635,CHILDS BREAKFAST SET DOLLY GIRL,-84,-727.05,7
22847,BREAD BIN DINER STYLE IVORY,-44,-711.8,31
23055,IVORY CHANDELIER T-LIGHT HOLDER,-432,-690.72,5
21258,VICTORIAN SEWING BOX LARGE,-61,-679.75,18
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,-454,-662.24,6
23207,LUNCH BAG ALPHABET DESIGN,-448,-659.6,13
22569,FELTCRAFT CUSHION BUTTERFLY,-194,-658.38,3
15056BL,EDWARDIAN PARASOL BLACK,-130,-652.5,5
22776,SWEETHEART CAKESTAND 3 TIER,-69,-643.05,29
22178,VICTORIAN GLASS HANGING T-LIGHT,-450,-638.4,25
22313,OFFICE MUG WARMER PINK,-250,-637.5,1
23057,BEADED CHANDELIER T-LIGHT HOLDER,-433,-636.15,6
21479,WHITE SKULL HOT WATER BOTTLE,-185,-635.9300000000001,4
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,-354,-622.47,12
22942,CHRISTMAS LIGHTS 10 SANTAS,-76,-604.3500000000001,12
21931,JUMBO STORAGE BAG SUKI,-334,-602.33,17
82482,WOODEN PICTURE FRAME WHITE FINISH,-233,-581.55,18
72802C,VANILLA SCENT CANDLE JEWELLED BOX,-505,-579.81,4
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,-292,-571.8000000000001,2
22990,COTTON APRON PANTRY DESIGN,-126,-553.6999999999999,11
22900,SET 2 TEA TOWELS I LOVE LONDON,-216,-552.5999999999999,11
21035,SET/2 RED RETROSPOT TEA TOWELS,-200,-550.0,2
22112,CHOCOLATE HOT WATER BOTTLE,-128,-548.88,8
22659,LUNCH BOX I LOVE LONDON,-322,-546.0,18
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,-117,-545.55,35
22111,SCOTTIE DOG HOT WATER BOTTLE,-129,-544.45,7
22568,FELTCRAFT CUSHION OWL,-158,-540.6600000000001,7
22796,PHOTO FRAME 3 CLASSIC HANGING,-55,-524.05,22
22826,LOVE SEAT ANTIQUE WHITE METAL,-4,-517.5,4
72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,-134,-516.7,10
85099C,JUMBO  BAG BAROQUE BLACK WHITE,-281,-510.88,14
21155,RED RETROSPOT PEG BAG,-238,-510.59999999999997,13
22236,CAKE STAND 3 TIER MAGIC GARDEN,-45,-508.94999999999993,11
15036,ASSORTED COLOURS SILK FAN,-744,-505.68,4
23343,JUMBO BAG VINTAGE CHRISTMAS,-271,-505.68,7
20969,RED FLORAL FELTCRAFT SHOULDER BAG,-145,-491.91,2
23344,JUMBO BAG 50'S CHRISTMAS,-262,-486.96000000000004,7
23298,SPOTTY BUNTING,-110,-482.81,12
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,-265,-479.58000000000004,8
22630,DOLLY GIRL LUNCH BOX,-275,-478.6499999999999,10
22564,ALPHABET STENCIL CRAFT,-437,-464.17,2
22503,CABIN BAG VINTAGE PAISLEY,-19,-461.84999999999997,3
20685,DOORMAT RED RETROSPOT,-66,-461.22,7
85099F,JUMBO BAG STRAWBERRY,-250,-448.49,13
85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,-152,-448.4,2
85066,CREAM SWEETHEART MINI CHEST,-41,-448.05,25
37449,CERAMIC CAKE STAND + HANGING CAKES,-50,-446.7,25
23157,SET OF 6 NATIVITY MAGNETS,-240,-444.0,1
23202,JUMBO BAG VINTAGE LEAF,-242,-442.46000000000004,6
23173,REGENCY TEAPOT ROSES,-52,-436.4,13
23071,MARIE ANTOINETTE TRINKET BOX GOLD,-76,-434.0,4
21439,BASKET OF TOADSTOOLS,-408,-432.48,1
20713,JUMBO BAG OWLS,-243,-431.43,6
22941,CHRISTMAS LIGHTS 10 REINDEER,-51,-429.25,20
20712,JUMBO BAG WOODLAND ANIMALS,-240,-426.46000000000004,9
22961,JAM MAKING SET PRINTED,-331,-425.75,12
23245,SET OF 3 REGENCY CAKE TINS,-90,-421.5,37
22666,RECIPE BOX PANTRY YELLOW DESIGN,-151,-421.05,47
21787,RAIN PONCHO RETROSPOT,-528,-420.0,3
22804,PINK HANGING HEART T-LIGHT HOLDER,-164,-419.8,3
23355,HOT WATER BOTTLE KEEP CALM,-96,-417.6,8
22846,BREAD BIN DINER STYLE RED,-26,-416.7,18
22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,-3,-415.0,3
21232,STRAWBERRY CERAMIC TRINKET BOX,-362,-414.5,52
84949,SILVER HANGING T-LIGHT HOLDER,-263,-412.34999999999997,35
22950,36 DOILIES VINTAGE CHRISTMAS,-324,-412.2,3
22588,CARD HOLDER GINGHAM HEART,-195,-411.8700000000001,3
23485,BOTANICAL GARDENS WALL CLOCK,-18,-407.4,13
22561,WOODEN SCHOOL COLOURING SET,-276,-405.0,3
22493,PAINT YOUR OWN CANVAS SET,-273,-396.45,4
22697,GREEN REGENCY TEACUP AND SAUCER,-143,-393.05,42
22698,PINK REGENCY TEACUP AND SAUCER,-138,-387.50000000000006,35
21929,JUMBO BAG PINK VINTAGE PAISLEY,-222,-387.07,12
23494,VINTAGE DOILY DELUXE SEWING KIT,-65,-386.75,11
22502,PICNIC BASKET WICKER SMALL,-75,-385.25,9
23072,MARIE ANTOINETTE TRINKET BOX SILVER,-72,-384.0,2
21735,TWO DOOR CURIO CABINET,-33,-382.95,13
22634,CHILDS BREAKFAST SET SPACEBOY,-41,-381.84999999999997,23
23169,CLASSIC GLASS COOKIE JAR,-93,-379.15,34
23318,BOX OF 6 MINI VINTAGE CRACKERS,-168,-368.71000000000004,7
20974,12 PENCILS SMALL TUBE SKULL,-566,-367.9,3
23167,SMALL CERAMIC TOP STORAGE JAR,-525,-365.19,9
22768,FAMILY PHOTO FRAME CORNICE,-36,-355.29999999999995,25
22689,DOORMAT MERRY CHRISTMAS RED,-52,-354.0,2
22781,GUMBALL MAGAZINE RACK,-49,-352.35,13
23462,ROCOCO WALL MIRROR WHITE,-18,-350.1,12
79321,CHILLI LIGHTS,-80,-349.7,6
84946,ANTIQUE SILVER T-LIGHT GLASS,-316,-349.21,23
22767,TRIPLE PHOTO FRAME CORNICE,-35,-348.25,17
23174,REGENCY SUGAR BOWL GREEN,-88,-345.2,17
22424,ENAMEL BREAD BIN CREAM,-28,-342.6,17
23256,CHILDRENS CUTLERY SPACEBOY,-88,-338.0,8
22933,BAKING MOULD EASTER EGG MILK CHOC,-156,-337.80000000000007,2
22467,GUMBALL COAT RACK,-147,-337.5,30
15056N,EDWARDIAN PARASOL NATURAL,-57,-337.45000000000005,7
22070,SMALL RED RETROSPOT MUG IN BOX,-296,-336.54,5
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,-41,-336.15,5
22363,GLASS JAR MARMALADE,-130,-335.5,4
22197,POPCORN HOLDER,-427,-329.41,36
20728,LUNCH BAG CARS BLUE,-214,-327.5,23
22456,NATURAL SLATE CHALKBOARD LARGE,-68,-326.8,32
85178,VICTORIAN SEWING KIT,-289,-322.85,5
22151,PLACE SETTING WHITE HEART,-890,-321.96,5
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9376,-321.6,4
23108,SET OF 10 LED DOLLY LIGHTS,-64,-317.6,18
22580,ADVENT CALENDAR GINGHAM SACK,-61,-314.95,4
22138,BAKING SET 9 PIECE RETROSPOT,-68,-311.1,27
22114,HOT WATER BOTTLE TEA AND SYMPATHY,-82,-310.1,5
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-41,-307.95,22
22834,HAND WARMER BABUSHKA DESIGN,-203,-306.05,7
35924,HANGING FAIRY CAKE DECORATION,-179,-302.51,5
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-107,-300.85,34
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,-28,-298.2,7
23110,PARISIENNE KEY CABINET,-51,-293.25,28
22956,36 FOIL HEART CAKE CASES,-152,-283.20000000000005,3
23111,PARISIENNE SEWING BOX,-24,-283.2,16
21781,MA CAMPAGNE CUTLERY BOX,-21,-283.15,8
22207,FRYING PAN UNION FLAG,-75,-282.25,4
22360,GLASS JAR ENGLISH CONFECTIONERY,-104,-282.0,16
21731,RED TOADSTOOL LED NIGHT LIGHT,-186,-281.29999999999995,12
22102,MIRROR MOSAIC T-LIGHT HOLDER,-720,-280.8,1
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,-101,-279.77,6
22978,PANTRY ROLLING PIN,-75,-272.61,12
21314,SMALL GLASS HEART TRINKET POT,-139,-270.15000000000003,40
22890,NOVELTY BISCUITS CAKE STAND 3 TIER,-29,-268.25,12
22727,ALARM CLOCK BAKELIKE RED,-71,-266.25,30
22932,BAKING MOULD TOFFEE CUP CHOCOLATE,-120,-262.8,2
21527,RED RETROSPOT TRADITIONAL TEAPOT,-34,-260.3,21
22865,HAND WARMER OWL DESIGN,-123,-258.05,11
22169,FAMILY ALBUM WHITE PICTURE FRAME,-32,-257.55,17
84029E,RED WOOLLY HOTTIE WHITE HEART.,-67,-256.45,6
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,-1200,-253.92,5
82486,WOOD S/3 CABINET ANT WHITE FINISH,-29,-249.75,16
23319,BOX OF 6 MINI 50'S CRACKERS,-116,-244.97000000000003,6
22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-18,-244.9,7
22427,ENAMEL FLOWER JUG CREAM,-42,-243.90000000000003,13
23200,JUMBO BAG PEARS,-134,-243.63000000000002,6
22382,LUNCH BAG SPACEBOY DESIGN,-159,-242.35,13
23112,PARISIENNE CURIO CABINET,-33,-239.85000000000002,19
84816,DANISH ROSE BEDSIDE CABINET,-6,-239.70000000000002,5
22636,CHILDS BREAKFAST SET CIRCUS PARADE,-29,-239.7,14
21481,FAWN BLUE HOT WATER BOTTLE,-88,-239.6,7
22509,SEWING BOX RETROSPOT DESIGN,-16,-239.2,2
23109,PACK OF SIX LED TEA LIGHTS,-96,-239.04,1
21621,VINTAGE UNION JACK BUNTING,-28,-238.0,4
22946,WOODEN ADVENT CALENDAR CREAM,-17,-237.75,7
22797,CHEST OF DRAWERS GINGHAM HEART,-14,-237.3,10
11001,ASSTD DESIGN RACING CAR PEN,-185,-237.04999999999998,5
22384,LUNCH BAG PINK POLKADOT,-152,-236.2,20
22849,BREAD BIN DINER STYLE MINT,-15,-234.25,8
22487,WHITE WOOD GARDEN PLANT LADDER,-25,-232.79999999999998,17
85036C,ROSE 1 WICK MORRIS BOXED CANDLE,-193,-232.25,3
23300,GARDENERS KNEELING PAD CUP OF TEA,-152,-231.6,7
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,-240,-228.0,1
22844,VINTAGE CREAM DOG FOOD CONTAINER,-28,-227.8,8
21154,RED RETROSPOT OVEN GLOVE,-212,-227.0,4
23175,REGENCY MILK JUG PINK,-80,-225.5,11
22769,CHALKBOARD KITCHEN ORGANISER,-10,-225.5,2
22667,RECIPE BOX RETROSPOT,-81,-225.35000000000002,21
23581,JUMBO BAG PAISLEY PARK,-122,-224.76,4
22087,PAPER BUNTING WHITE LACE,-76,-223.8,8
22778,GLASS CLOCHE SMALL,-64,-223.12,18
23582,VINTAGE DOILY JUMBO BAG RED,-121,-222.68,3
85103,SILVER T-LIGHT SETTING,-37,-220.15,1
22776,SWEETHEART 3 TIER CAKE STAND,-24,-219.95,11
23210,WHITE ROCKING HORSE HAND PAINTED,-200,-219.76,4
22383,LUNCH BAG SUKI DESIGN,-144,-217.4,18
21463,MIRRORED DISCO BALL,-42,-216.9,8
20733,GOLD MINI TAPE MEASURE,-300,-216.0,1
22385,JUMBO BAG SPACEBOY DESIGN,-118,-215.14,4
21671,RED SPOT CERAMIC DRAWER KNOB,-152,-214.81,14
23215,JINGLE BELL HEART ANTIQUE SILVER,-120,-214.8,1
23083,SET 6 PAPER TABLE LANTERN STARS,-63,-214.17000000000002,3
22389,PAPERWEIGHT SAVE THE PLANET,-100,-210.0,1
22839,3 TIER CAKE TIN GREEN AND CREAM,-14,-209.29999999999998,10
22866,HAND WARMER SCOTTY DOG DESIGN,-111,-209.10000000000002,5
21537,RED RETROSPOT PUDDING BOWL,-55,-208.75,7
23084,RABBIT NIGHT LIGHT,-108,-208.4,15
22469,HEART OF WICKER SMALL,-135,-207.95,11
84978,HANGING HEART JAR T-LIGHT HOLDER,-175,-206.59,30
20829,GLITTER HANGING BUTTERFLY STRING,-120,-205.26,6
75049L,LARGE CIRCULAR MIRROR MOBILE,-228,-204.2,20
20727,LUNCH BAG  BLACK SKULL.,-128,-202.2,22
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,-482,-201.66000000000003,3
22930,BAKING MOULD HEART MILK CHOCOLATE,-96,-201.6,1
22356,CHARLOTTE BAG PINK POLKADOT,-266,-201.53,17
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,-22,-201.5,9
22784,LANTERN CREAM GAZEBO,-41,-200.85,27
22945,CHRISTMAS METAL TAGS ASSORTED,-258,-200.58,5
20979,36 PENCILS TUBE RED RETROSPOT,-160,-200.0,16
23486,ANTIQUE HEART SHELF UNIT,-13,-199.65,6
21212,PACK OF 72 RETROSPOT CAKE CASES,-380,-199.38,14
22625,RED KITCHEN SCALES,-24,-198.05,18
22936,BAKING MOULD ROSE WHITE CHOCOLATE,-72,-198.0,1
22935,BAKING MOULD ROSE MILK CHOCOLATE,-72,-198.0,1
71477,COLOURED GLASS STAR T-LIGHT HOLDER,-54,-197.46,7
22090,PAPER BUNTING RETROSPOT,-72,-196.4,7
22139,RETROSPOT TEA SET CERAMIC 11 PC,-42,-195.3,16
22649,STRAWBERRY FAIRY CAKE TEAPOT,-40,-195.20000000000002,20
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,-259,-195.19,7
22929,SCHOOL DESK AND CHAIR,-3,-195.0,2
22180,RETROSPOT LAMP,-20,-194.65,12
22366,DOORMAT AIRMAIL,-27,-194.07000000000002,3
22654,DELUXE SEWING KIT,-33,-193.35000000000002,14
22193,RED DINER WALL CLOCK,-24,-192.95,9
22791,T-LIGHT GLASS FLUTED ANTIQUE,-177,-192.75,10
22738,RIBBON REEL SNOWY VILLAGE,-130,-190.5,2
22470,HEART OF WICKER LARGE,-68,-189.5,16
22968,ROSE COTTAGE KEEPSAKE BOX,-20,-188.85,10
21231,SWEETHEART CERAMIC TRINKET BOX,-157,-188.08,27
22730,ALARM CLOCK BAKELIKE IVORY,-50,-187.5,13
22464,HANGING METAL HEART LANTERN,-122,-186.9,11
22969,HOMEMADE JAM SCENTED CANDLES,-140,-185.79999999999998,8
37495,FAIRY CAKE BIRTHDAY CANDLE SET,-49,-183.75,12
22922,FRIDGE MAGNETS US DINER ASSORTED,-234,-183.3,5
22364,GLASS JAR DIGESTIVE BISCUITS,-67,-182.45000000000002,14
22071,SMALL WHITE RETROSPOT MUG IN BOX,-286,-180.5,5
22725,ALARM CLOCK BAKELIKE CHOCOLATE,-48,-180.0,13
23118,PARISIENNE JEWELLERY DRAWER,-24,-180.0,17
22924,FRIDGE MAGNETS LA VIE EN ROSE,-229,-179.05,5
22848,BREAD BIN DINER STYLE PINK,-11,-176.45,8
22618,COOKING SET RETROSPOT,-20,-174.18,3
21210,SET OF 72 RETROSPOT PAPER  DOILIES,-133,-173.65,5
22461,SAVOY ART DECO CLOCK,-23,-173.45,13
17003,BROCADE RING PURSE,-3,-172.8,3
22303,COFFEE MUG APPLES DESIGN,-74,-171.15,10
82484,WOOD BLACK BOARD ANT WHITE FINISH,-24,-170.95000000000002,11
35004C,SET OF 3 COLOURED  FLYING DUCKS,-36,-170.6,8
20724,RED RETROSPOT CHARLOTTE BAG,-223,-170.31,16
23322,LARGE WHITE HEART OF WICKER,-63,-169.85000000000002,10
21181,PLEASE ONE PERSON METAL SIGN,-87,-169.70000000000002,10
23301,GARDENERS KNEELING PAD KEEP CALM,-114,-168.89999999999998,11
22192,BLUE DINER WALL CLOCK,-21,-168.3,7
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-34,-165.5,11
21218,RED SPOTTY BISCUIT TIN,-49,-165.25,11
22083,PAPER CHAIN KIT RETROSPOT,-56,-165.20000000000002,5
23146,TRIPLE HOOK ANTIQUE IVORY ROSE,-50,-164.1,22
84406B,CREAM CUPID HEARTS COAT HANGER,-42,-162.5,6
21166,COOK WITH WINE METAL SIGN,-87,-161.1,11
48129,DOORMAT TOPIARY,-23,-159.15,4
22840,ROUND CAKE TIN VINTAGE RED,-20,-158.0,15
22837,HOT WATER BOTTLE BABUSHKA,-37,-157.65,2
21936,RED RETROSPOT PICNIC BAG,-56,-157.1,12
22668,PINK BABY BUNTING,-60,-157.0,3
22106,MIRROR MOSAIC HURRICANE LAMP,-121,-156.75,2
22766,PHOTO FRAME CORNICE,-53,-156.35000000000002,16
22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-59,-156.05,6
23165,LARGE CERAMIC TOP STORAGE JAR,-102,-154.5,18
23172,REGENCY TEA PLATE PINK,-102,-154.29999999999998,9
85023B,EAU DE NILE JEWELLED PHOTOFRAME,-73,-153.75000000000003,2
22726,ALARM CLOCK BAKELIKE GREEN,-41,-153.75,21
22728,ALARM CLOCK BAKELIKE PINK,-41,-153.75,16
21850,BLUE  DIAMANTE PEN IN GIFT BOX,-36,-153.0,1
21733,RED HANGING HEART T-LIGHT HOLDER,-57,-152.95000000000002,13
84754,S/15 SILVER GLASS BAUBLES IN BAG,-144,-152.64,1
22457,NATURAL SLATE HEART CHALKBOARD,-52,-152.60000000000002,17
22622,BOX OF VINTAGE ALPHABET BLOCKS,-13,-151.34999999999997,5
23228,FILIGREE HEART BIRD WHITE,-144,-149.76,1
22088,PAPER BUNTING COLOURED LACE,-56,-149.2,3
22061,LARGE CAKE STAND  HANGING STRAWBERY,-16,-149.04999999999998,15
21533,RETROSPOT LARGE MILK JUG,-32,-147.9,11
21484,CHICK GREY HOT WATER BOTTLE,-48,-147.60000000000002,2
23171,REGENCY TEA PLATE GREEN,-97,-146.25,5
22418,10 COLOUR SPACEBOY PEN,-172,-146.2,8
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-41,-144.03,12
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,-103,-143.95,8
23404,HOME SWEET HOME BLACKBOARD,-29,-143.55,14
22617,BAKING SET SPACEBOY DESIGN,-29,-142.15,15
23250,VINTAGE RED TRIM ENAMEL BOWL,-121,-141.8,8
23075,PARLOUR CERAMIC WALL HOOK,-34,-141.10000000000002,6
22952,60 CAKE CASES VINTAGE CHRISTMAS,-312,-140.4,4
23205,CHARLOTTE BAG VINTAGE ALPHABET,-191,-140.25,8
22429,ENAMEL MEASURING JUG CREAM,-33,-140.25,16
22810,SET OF 6 T-LIGHTS SNOWMEN,-54,-140.10000000000002,2
71053,WHITE METAL LANTERN,-39,-139.77,9
21260,FIRST AID TIN,-43,-139.75,2
22553,PLASTERS IN TIN SKULLS,-84,-138.6,7
23204,CHARLOTTE BAG APPLES DESIGN,-186,-138.34,8
22574,HEART WOODEN CHRISTMAS DECORATION,-192,-138.24,1
22624,IVORY KITCHEN SCALES,-17,-137.7,9
23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,-33,-136.95,5
35004B,SET OF 3 BLACK FLYING DUCKS,-30,-136.79999999999998,8
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,-35,-136.25,6
22637,PIGGY BANK RETROSPOT,-55,-136.2,23
22474,SPACEBOY TV DINNER TRAY,-32,-136.0,1
22333,RETROSPOT PARTY BAG + STICKER SET,-82,-135.3,12
85152,HAND OVER THE CHOCOLATE   SIGN,-74,-135.22,3
84879,ASSORTED COLOUR BIRD ORNAMENT,-80,-135.2,12
35400,WOODEN BOX ADVENT CALENDAR,-16,-135.2,8
20726,LUNCH BAG WOODLAND,-82,-134.9,19
79191C,RETRO PLASTIC ELEPHANT TRAY,-158,-134.29999999999998,13
22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,-176,-134.0,6
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,-66,-133.5,4
82583,HOT BATHS METAL SIGN,-72,-133.46,8
22988,SOLDIERS EGG CUP,-112,-132.78,8
22798,ANTIQUE GLASS DRESSING TABLE POT,-45,-132.75,17
22504,CABIN BAG VINTAGE RETROSPOT,-5,-132.55,4
22186,RED STAR CARD HOLDER,-53,-132.15,4
23155,KNICKERBOCKERGLORY MAGNET ASSORTED,-169,-129.71,14
23085,ANTIQUE SILVER BAUBLE LAMP,-13,-128.75,5
21135,VICTORIAN  METAL POSTCARD SPRING,-296,-128.72,3
22891,TEA FOR ONE POLKADOT,-30,-127.5,18
22669,RED BABY BUNTING,-50,-127.5,1
84968A,SET OF 16 VINTAGE ROSE CUTLERY,-10,-127.5,3
22842,BISCUIT TIN VINTAGE RED,-19,-127.45,14
22492,MINI PAINT SET VINTAGE,-196,-127.39999999999999,10
20866,BLUE ROSE FABRIC MIRROR,-120,-127.2,1
82580,BATHROOM METAL SIGN,-290,-127.0,5
23154,SET OF 4 JAM JAR MAGNETS,-61,-126.88,3
22101,MIRROR MOSAIC VOTIVE HOLDER,-324,-126.36,1
22959,WRAP CHRISTMAS VILLAGE,-300,-126.0,3
23358,HOT STUFF HOT WATER BOTTLE,-38,-125.94,2
23079,TOADSTOOL BEDSIDE LIGHT,-14,-125.3,7
22179,SET 10 NIGHT OWL LIGHTS,-21,-124.95,1
23158,SET OF 5 LUCKY CAT MAGNETS,-60,-124.8,3
21658,GLASS  BEURRE DISH,-32,-124.58,24
47590B,PINK HAPPY BIRTHDAY BUNTING,-26,-124.1,4
22980,PANTRY SCRUBBING BRUSH,-81,-124.04999999999998,6
23252,VINTAGE RED ENAMEL TRIM JUG,-33,-123.75,7
22379,RECYCLING BAG RETROSPOT,-64,-122.65,5
47351B,BLUE  VOILE LAMPSHADE,-48,-122.4,1
35970,ZINC FOLKART SLEIGH BELLS,-73,-121.17000000000002,6
22084,PAPER CHAIN KIT EMPIRE,-41,-120.95,2
22120,WELCOME  WOODEN BLOCK LETTERS,-12,-119.4,2
84665,SQUARE CHERRY BLOSSOM CABINET,-20,-119.0,3
23008,DOLLY GIRL BABY GIFT SET,-7,-118.65,4
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,-19,-118.65,5
21754,HOME BUILDING BLOCK WORD,-20,-118.6,10
23247,BISCUIT TIN 50'S CHRISTMAS,-46,-118.54000000000002,5
22606,WOODEN SKITTLES GARDEN SET,-11,-118.25,8
22326,ROUND SNACK BOXES SET OF4 WOODLAND,-40,-118.00000000000001,17
22722,SET OF 6 SPICE TINS PANTRY DESIGN,-30,-118.0,12
22979,PANTRY WASHING UP BRUSH,-91,-117.55000000000001,5
22627,MINT KITCHEN SCALES,-15,-117.21000000000001,13
22938,CUPCAKE LACE PAPER SET 6,-60,-117.0,4
22729,ALARM CLOCK BAKELIKE ORANGE,-31,-115.89,17
23239,SET OF 4 KNICK KNACK TINS POPPIES,-28,-115.8,9
22892,SET OF SALT AND PEPPER TOADSTOOLS,-96,-115.19,17
21669,BLUE STRIPE CERAMIC DRAWER KNOB,-80,-115.00999999999999,10
47590A,BLUE HAPPY BIRTHDAY BUNTING,-24,-114.80000000000001,3
21906,PHARMACIE FIRST AID TIN,-17,-114.75,6
84792,ENCHANTED BIRD COATHANGER 5 HOOK,-29,-114.69,4
23163,REGENCY SUGAR TONGS,-55,-114.4,2
22109,FULL ENGLISH BREAKFAST PLATE,-33,-114.39,5
22355,CHARLOTTE BAG SUKI DESIGN,-150,-113.59,12
21820,GLITTER HEART GARLAND WITH BELLS,-30,-112.5,3
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-133,-112.49,3
23240,SET OF 4 KNICK KNACK TINS DOILY,-27,-111.65,10
