id_cliente,ultima_compra,frequencia_pedidos,valor_total_gasto,dias_ultima_compra,score_recencia,score_frequencia,score_monetario,score_rfm_total
12399,2011-08-12 13:15:00,4,1108.65,118,2,1,4,7.0
12401,2011-02-09 13:50:00,1,84.3,302,1,1,1,3.0
12402,2011-01-20 13:49:00,1,225.60000000000002,322,1,1,1,3.0
12403,2011-10-21 11:00:00,2,409.7,49,3,1,2,6.0
12405,2011-07-14 08:52:00,1,1710.39,148,2,1,4,7.0
12406,2011-11-17 19:22:00,3,3280.75,21,4,1,5,10.0
12407,2011-10-21 10:11:00,5,1708.12,49,3,1,4,8.0
12408,2011-11-07 12:30:00,9,2842.57,32,3,1,5,9.0
12409,2011-09-22 10:38:00,7,11056.93,78,2,1,5,8.0
12410,2011-02-11 15:47:00,3,681.08,300,1,1,3,5.0
12412,2011-09-26 10:16:00,3,1226.88,74,2,1,4,7.0
12413,2011-10-04 09:00:00,5,694.15,66,3,1,3,7.0
12414,2011-05-06 14:51:00,3,562.4100000000001,216,1,1,3,5.0
12415,2011-11-15 14:22:00,26,123725.45,23,4,1,5,10.0
12417,2011-12-06 14:52:00,12,3578.8,2,5,1,5,11.0
12418,2011-08-19 11:08:00,1,668.58,112,2,1,3,6.0
12420,2011-10-07 08:55:00,1,600.39,63,3,1,3,7.0
12421,2011-11-24 09:07:00,5,806.27,15,4,1,3,8.0
12422,2011-09-05 09:48:00,3,803.5600000000001,95,2,1,3,6.0
12423,2011-12-09 10:10:00,9,1849.1100000000001,0,5,1,4,10.0
12424,2011-06-30 12:06:00,2,1760.96,162,2,1,4,7.0
12425,2011-09-22 17:31:00,1,777.2,77,2,1,3,6.0
12426,2011-05-29 12:26:00,1,582.73,194,1,1,3,5.0
12427,2011-11-28 10:48:00,5,708.37,11,4,1,3,8.0
12428,2011-11-14 08:22:00,12,7877.2,25,4,1,5,10.0
12429,2011-11-30 17:22:00,4,3750.4,8,5,1,5,11.0
12430,2011-10-27 15:09:00,1,256.4,42,3,1,2,6.0
12431,2011-11-04 11:55:00,18,6348.89,35,3,1,5,9.0
12432,2011-10-28 11:43:00,5,5059.32,42,3,1,5,9.0
12433,2011-12-09 10:02:00,7,13375.87,0,5,1,5,11.0
12434,2011-09-16 12:38:00,4,765.19,84,2,1,3,6.0
12435,2011-09-21 09:06:00,2,7829.89,79,2,1,5,8.0
12436,2011-09-01 12:09:00,1,509.01,99,2,1,3,6.0
12437,2011-12-08 11:35:00,19,4896.66,1,5,1,5,11.0
12438,2011-11-25 13:28:00,2,2906.85,13,4,1,5,10.0
12441,2010-12-08 10:45:00,1,173.55,366,1,1,1,3.0
12442,2011-12-06 14:22:00,1,172.06,2,5,1,1,7.0
12444,2011-11-18 13:23:00,5,5005.46,20,4,1,5,10.0
12445,2011-11-17 18:43:00,1,133.4,21,4,1,1,6.0
12446,2011-10-13 12:50:00,1,1002.3100000000001,57,3,1,4,8.0
12447,2011-04-10 13:25:00,1,476.49,242,1,1,3,5.0
12448,2011-10-26 13:46:00,1,449.45,43,3,1,2,6.0
12449,2011-11-17 13:46:00,4,4067.29,21,4,1,5,10.0
12450,2011-07-06 14:41:00,2,197.88,155,2,1,1,4.0
12451,2011-11-29 08:40:00,6,8933.52,10,5,1,5,11.0
12452,2011-11-23 10:28:00,3,428.57000000000005,16,4,1,2,7.0
12453,2011-07-28 14:08:00,1,707.09,133,2,1,3,6.0
12454,2011-10-17 15:07:00,2,5.684341886080802e-14,52,3,1,1,5.0
12455,2011-09-27 15:31:00,6,2466.86,72,2,1,5,8.0
12456,2011-10-26 14:41:00,4,3153.89,43,3,1,5,9.0
12457,2011-10-12 13:46:00,12,1917.78,57,3,1,4,8.0
12458,2011-09-29 15:25:00,2,947.4,70,3,1,4,8.0
12461,2011-09-06 16:57:00,2,826.88,93,2,1,3,6.0
12462,2011-12-07 14:02:00,4,1124.01,1,5,1,4,10.0
12463,2011-10-24 13:43:00,7,1303.63,45,3,1,4,8.0
12464,2011-11-29 13:33:00,8,1212.05,9,5,1,4,10.0
12465,2011-12-02 11:34:00,3,733.89,7,5,1,3,9.0
12468,2011-07-19 13:42:00,3,724.04,142,2,1,3,6.0
12471,2011-12-07 15:43:00,49,18705.52,1,5,1,5,11.0
12472,2011-11-09 11:33:00,13,6229.4800000000005,30,4,1,5,10.0
12473,2011-11-10 13:48:00,9,2837.73,28,4,1,5,10.0
12474,2011-11-22 14:39:00,30,7064.77,16,4,1,5,10.0
12475,2011-10-17 10:10:00,1,723.38,53,3,1,3,7.0
12476,2011-12-08 14:08:00,20,6546.58,0,5,1,5,11.0
12477,2011-11-17 09:51:00,9,13117.01,22,4,1,5,10.0
12478,2011-12-06 09:56:00,1,680.99,3,5,1,3,9.0
12479,2011-12-06 09:25:00,3,477.3,3,5,1,3,9.0
12480,2011-11-11 14:52:00,4,3281.63,27,4,1,5,10.0
12481,2011-11-17 08:29:00,11,5574.36,22,4,1,5,10.0
12483,2011-11-22 17:03:00,13,2327.13,16,4,1,5,10.0
12484,2011-11-07 11:37:00,8,4480.87,32,3,1,5,9.0
12488,2011-11-30 08:50:00,3,1298.66,9,5,1,4,10.0
12489,2011-01-07 13:13:00,1,334.93,335,1,1,2,4.0
12490,2011-12-04 16:07:00,10,5417.93,4,5,1,5,11.0
12491,2011-11-01 12:18:00,1,460.40000000000003,38,3,1,2,6.0
12492,2011-10-07 15:15:00,2,263.21000000000004,62,3,1,2,6.0
12493,2011-06-27 10:17:00,3,416.79,165,2,1,2,5.0
12494,2011-11-30 09:21:00,13,1139.3500000000001,9,5,1,4,10.0
12497,2011-09-19 12:29:00,1,1043.1,81,2,1,4,7.0
12498,2011-11-18 12:53:00,3,403.70000000000005,20,4,1,2,7.0
12500,2011-11-16 16:20:00,13,4206.2699999999995,22,4,1,5,10.0
12501,2011-01-28 13:54:00,2,2089.68,314,1,1,5,7.0
12502,2011-09-05 11:52:00,5,3723.87,95,2,1,5,8.0
12503,2011-01-06 11:51:00,1,-1126.0,337,1,1,1,3.0
12504,2011-11-21 16:02:00,4,114.0,17,4,1,1,6.0
12505,2011-02-11 13:39:00,1,-4.5,300,1,1,1,3.0
12506,2011-04-21 08:54:00,1,73.5,232,1,1,1,3.0
12507,2011-07-28 17:09:00,4,1258.06,133,2,1,4,7.0
12508,2011-11-13 15:37:00,2,397.88,25,4,1,2,7.0
12509,2011-02-28 14:45:00,1,176.5,283,1,1,1,3.0
12510,2011-07-20 10:15:00,2,982.5699999999999,142,2,1,4,7.0
12512,2011-10-04 14:55:00,2,132.18,65,3,1,1,5.0
12513,2011-09-16 12:45:00,2,586.79,84,2,1,3,6.0
12514,2011-03-17 16:38:00,1,1017.6800000000001,266,1,1,4,6.0
12515,2010-12-21 15:43:00,1,383.7,352,1,1,2,4.0
12516,2011-09-23 09:13:00,2,1312.06,77,2,1,4,7.0
12517,2011-11-11 14:04:00,6,2443.65,27,4,1,5,10.0
12518,2011-12-09 10:13:00,5,2056.89,0,5,1,5,11.0
12519,2011-10-07 09:26:00,1,330.84000000000003,63,3,1,2,6.0
12520,2011-09-21 15:23:00,6,2582.51,78,2,1,5,8.0
12521,2011-07-20 10:51:00,1,599.68,142,2,1,3,6.0
12522,2011-10-31 15:30:00,2,192.72,38,3,1,1,5.0
12523,2011-12-08 11:46:00,13,1745.57,1,5,1,4,10.0
12524,2011-11-30 15:31:00,8,4485.72,8,5,1,5,11.0
12526,2011-12-09 12:09:00,3,1316.66,0,5,1,4,10.0
12527,2011-09-19 11:55:00,3,348.71000000000004,81,2,1,2,5.0
12528,2011-11-30 14:40:00,8,1922.28,8,5,1,4,10.0
12530,2011-10-11 12:34:00,5,1623.63,59,3,1,4,8.0
12531,2011-11-25 11:12:00,1,125.22,14,4,1,1,6.0
12532,2011-11-09 13:47:00,1,349.83000000000004,29,4,1,2,7.0
12534,2011-08-01 10:26:00,1,1089.18,130,2,1,4,7.0
12535,2011-09-09 08:48:00,2,716.35,91,2,1,3,6.0
12536,2011-12-02 12:43:00,5,4106.82,7,5,1,5,11.0
12538,2011-11-10 17:16:00,1,363.95,28,4,1,2,7.0
12539,2011-11-17 13:30:00,5,3852.5,21,4,1,5,10.0
12540,2011-11-20 11:31:00,19,13309.04,19,4,1,5,10.0
12541,2011-11-10 10:40:00,3,981.18,29,4,1,4,9.0
12544,2011-11-10 11:12:00,2,355.7,29,4,1,2,7.0
12545,2011-09-25 13:39:00,2,1000.39,74,2,1,4,7.0
12546,2011-10-24 12:09:00,3,1141.5,46,3,1,4,8.0
12547,2011-05-26 12:38:00,2,207.8,197,1,1,1,3.0
12548,2011-06-26 15:35:00,1,95.19999999999999,165,2,1,1,4.0
12550,2011-09-21 14:35:00,1,964.83,78,2,1,4,7.0
12551,2010-12-17 11:23:00,1,168.0,357,1,1,1,3.0
12552,2011-11-01 10:02:00,2,437.82,38,3,1,2,6.0
12553,2011-12-01 16:38:00,14,3652.25,7,5,1,5,11.0
12556,2011-10-20 13:06:00,2,599.56,49,3,1,3,7.0
12557,2011-11-23 16:59:00,5,11990.960000000001,15,4,1,5,10.0
12558,2011-12-08 10:14:00,2,1.0658141036401503e-14,1,5,1,1,7.0
12559,2011-02-02 09:49:00,3,536.21,310,1,1,3,5.0
12560,2011-12-04 13:54:00,4,2101.39,4,5,1,5,11.0
12561,2011-02-10 11:39:00,1,238.85,302,1,1,2,4.0
12562,2011-12-01 17:20:00,7,3781.7400000000002,7,5,1,5,11.0
12564,2011-03-23 14:55:00,1,456.90000000000003,260,1,1,2,4.0
12565,2011-03-03 11:43:00,2,131.17000000000002,281,1,1,1,3.0
12566,2011-09-28 09:57:00,2,346.7,72,2,1,2,5.0
12567,2011-11-17 11:02:00,11,9114.94,22,4,1,5,10.0
12569,2011-12-07 16:24:00,35,4064.9900000000002,1,5,1,5,11.0
12571,2011-10-31 10:19:00,2,519.61,39,3,1,3,7.0
12572,2011-12-01 09:20:00,3,1004.72,8,5,1,4,10.0
12573,2011-04-26 15:52:00,1,160.54000000000002,226,1,1,1,3.0
12574,2011-01-28 09:20:00,1,218.45000000000002,315,1,1,1,3.0
12576,2011-11-04 10:11:00,6,1306.98,35,3,1,4,8.0
12577,2011-11-04 13:28:00,4,564.2,34,3,1,3,7.0
12578,2011-11-18 13:30:00,4,2753.36,20,4,1,5,10.0
12579,2011-09-27 13:57:00,3,410.72,72,2,1,2,5.0
12580,2011-04-07 10:24:00,1,415.7,246,1,1,2,4.0
12581,2011-10-31 08:56:00,1,197.71,39,3,1,1,5.0
12582,2011-04-15 08:45:00,2,511.36,238,1,1,3,5.0
12583,2011-12-07 08:07:00,18,7187.34,2,5,1,5,11.0
12584,2011-12-06 09:35:00,18,1893.95,3,5,1,4,10.0
12585,2011-04-19 13:39:00,4,1982.81,233,1,1,4,6.0
12586,2011-11-22 16:24:00,2,179.94000000000003,16,4,1,1,6.0
12587,2011-12-02 12:47:00,1,144.0,7,5,1,1,7.0
12588,2011-10-31 15:01:00,1,214.89999999999998,38,3,1,1,5.0
12589,2011-11-11 10:19:00,2,646.68,28,4,1,3,8.0
12590,2011-06-02 14:25:00,3,9861.38,189,1,1,5,7.0
12591,2011-01-26 14:35:00,1,452.84999999999997,316,1,1,2,4.0
12592,2011-09-08 15:04:00,2,437.6,91,2,1,2,5.0
12593,2011-08-23 12:43:00,3,418.1,108,2,1,2,5.0
12594,2011-11-02 12:20:00,11,3320.2200000000003,37,3,1,5,9.0
12596,2011-10-19 13:02:00,2,618.27,50,3,1,3,7.0
12597,2011-11-20 13:33:00,5,3683.13,18,4,1,5,10.0
12598,2011-11-30 12:18:00,9,3002.68,9,5,1,5,11.0
12599,2011-11-10 13:34:00,7,1032.58,28,4,1,4,9.0
12600,2011-11-11 10:29:00,11,2581.04,28,4,1,5,10.0
12601,2011-06-03 10:17:00,6,569.5600000000001,189,1,1,3,5.0
12602,2011-10-12 11:22:00,1,153.12,58,3,1,1,5.0
12603,2011-11-18 10:42:00,1,739.1999999999999,21,4,1,3,8.0
12604,2011-09-21 14:08:00,2,254.18,78,2,1,2,5.0
12605,2010-12-09 15:41:00,1,-7.5,364,1,1,1,3.0
12607,2011-10-12 16:17:00,2,7.105427357601002e-15,57,3,1,1,5.0
12609,2011-09-22 16:34:00,3,1126.85,77,2,1,4,7.0
12610,2011-11-17 09:34:00,7,2057.99,22,4,1,5,10.0
12611,2011-10-18 13:12:00,1,1193.32,51,3,1,4,8.0
12612,2011-10-13 12:12:00,2,643.59,57,3,1,3,7.0
12613,2011-11-08 13:30:00,6,3218.98,30,4,1,5,10.0
12614,2011-03-07 10:22:00,1,315.6,277,1,1,2,4.0
12615,2011-12-07 15:02:00,4,2291.19,1,5,1,5,11.0
12616,2011-09-15 17:02:00,5,657.25,84,2,1,3,6.0
12617,2011-11-10 14:39:00,1,352.98,28,4,1,2,7.0
12618,2011-11-18 11:10:00,1,177.31,21,4,1,1,6.0
12619,2011-11-23 14:52:00,13,3214.81,15,4,1,5,10.0
12620,2011-11-25 10:20:00,3,1339.41,14,4,1,4,9.0
12621,2011-12-08 11:25:00,23,13612.07,1,5,1,5,11.0
12622,2011-04-21 16:39:00,1,180.1,231,1,1,1,3.0
12623,2011-03-08 13:50:00,1,305.1,275,1,1,2,4.0
12624,2011-08-25 15:04:00,2,641.13,105,2,1,3,6.0
12625,2011-05-12 09:54:00,3,2614.32,211,1,1,5,7.0
12626,2011-11-16 16:06:00,13,6388.35,22,4,1,5,10.0
12627,2011-11-29 12:07:00,7,4478.53,10,5,1,5,11.0
12628,2011-12-05 13:15:00,4,769.61,3,5,1,3,9.0
12630,2011-11-30 10:48:00,2,1270.88,9,5,1,4,10.0
12631,2011-10-13 13:53:00,1,640.5,56,3,1,3,7.0
12633,2011-10-12 11:40:00,5,2140.63,58,3,1,5,9.0
12635,2011-09-11 11:04:00,2,1689.18,89,2,1,4,7.0
12637,2011-10-03 13:46:00,10,5934.25,66,3,1,5,9.0
12638,2011-11-06 13:11:00,1,671.69,32,3,1,3,7.0
12639,2011-04-15 12:48:00,1,486.1,238,1,1,3,5.0
12640,2011-11-16 11:52:00,3,1174.58,23,4,1,4,9.0
12641,2011-08-16 13:26:00,1,185.9,114,2,1,1,4.0
12642,2011-11-14 15:03:00,3,1013.26,24,4,1,4,9.0
12643,2011-08-03 12:56:00,6,3344.64,127,2,1,5,8.0
12644,2011-08-02 10:33:00,1,477.90999999999997,129,2,1,3,6.0
12645,2011-11-06 12:38:00,5,1755.38,33,3,1,4,8.0
12646,2011-12-05 10:14:00,2,1346.97,4,5,1,4,10.0
12647,2011-11-17 12:56:00,13,3669.92,21,4,1,5,10.0
12648,2011-07-08 11:55:00,1,318.05,154,2,1,2,5.0
12649,2011-08-24 14:41:00,4,603.71,106,2,1,3,6.0
12650,2011-12-06 16:34:00,1,314.44,2,5,1,2,8.0
12651,2011-01-09 12:46:00,1,114.0,334,1,1,1,3.0
12652,2011-01-21 17:01:00,2,914.5300000000001,321,1,1,4,6.0
12653,2011-07-14 10:41:00,2,2209.85,148,2,1,5,8.0
12654,2011-11-29 10:10:00,5,601.98,10,5,1,3,9.0
12656,2011-11-22 13:42:00,8,3982.72,16,4,1,5,10.0
12657,2011-11-28 15:47:00,5,1152.06,10,5,1,4,10.0
12658,2011-11-21 10:22:00,1,686.05,18,4,1,3,8.0
12659,2011-11-10 11:53:00,1,91.68,29,4,1,1,6.0
12660,2011-11-28 13:26:00,1,245.10000000000002,10,5,1,2,8.0
12662,2011-12-09 11:59:00,12,3817.08,0,5,1,5,11.0
12664,2011-12-01 17:07:00,10,4863.88,7,5,1,5,11.0
12665,2011-01-19 08:34:00,2,61.75,324,1,1,1,3.0
12666,2010-12-15 14:42:00,1,-227.44,358,1,1,1,3.0
12667,2011-10-12 17:00:00,1,620.13,57,3,1,3,7.0
12668,2011-12-02 15:10:00,6,3743.1800000000003,6,5,1,5,11.0
12669,2011-07-12 09:54:00,4,1607.73,150,2,1,4,7.0
12670,2011-11-29 15:23:00,6,2986.15,9,5,1,5,11.0
12672,2011-01-14 09:20:00,1,225.9,329,1,1,1,3.0
12673,2011-12-04 13:55:00,2,610.52,4,5,1,3,9.0
12674,2011-11-28 12:22:00,7,1922.26,11,4,1,4,9.0
12676,2011-11-15 12:25:00,6,1331.39,24,4,1,4,9.0
12678,2011-10-28 13:04:00,13,17588.26,41,3,1,5,9.0
12679,2011-10-18 13:43:00,9,1058.67,51,3,1,4,8.0
12680,2011-12-09 12:50:00,4,862.81,0,5,1,3,9.0
12681,2011-11-25 11:35:00,27,13677.59,14,4,1,5,10.0
12682,2011-12-06 10:00:00,31,12279.82,3,5,1,5,11.0
12683,2011-12-05 16:31:00,20,8221.09,3,5,1,5,11.0
12684,2011-12-02 09:53:00,7,2283.63,7,5,1,5,11.0
12685,2011-11-11 13:46:00,6,2863.08,27,4,1,5,10.0
12686,2010-12-03 09:51:00,1,89.14,371,1,1,1,3.0
12688,2011-08-18 08:49:00,1,4873.81,113,2,1,5,8.0
12689,2011-11-14 08:31:00,2,1247.6100000000001,25,4,1,4,9.0
12690,2011-05-18 09:09:00,1,389.01,205,1,1,2,4.0
12691,2011-11-11 16:49:00,6,1035.8,27,4,1,4,9.0
12693,2011-08-11 09:16:00,6,830.96,120,2,1,3,6.0
12694,2011-09-30 13:06:00,2,869.67,69,3,1,3,7.0
12695,2011-12-02 13:22:00,4,582.1,6,5,1,3,9.0
12697,2011-11-18 16:17:00,5,939.02,20,4,1,4,9.0
12700,2011-12-02 10:49:00,6,4867.99,7,5,1,5,11.0
12701,2011-09-21 10:47:00,2,797.71,79,2,1,3,6.0
12702,2011-11-20 10:36:00,1,219.0,19,4,1,1,6.0
12703,2011-10-06 19:23:00,2,274.7,63,3,1,2,6.0
12704,2011-12-02 13:15:00,10,2220.84,6,5,1,5,11.0
12705,2011-11-24 13:17:00,14,6814.24,14,4,1,5,10.0
12707,2011-02-21 08:38:00,1,603.42,291,1,1,3,5.0
12708,2011-11-10 09:52:00,16,2616.32,29,4,1,5,10.0
12709,2011-12-06 16:42:00,26,9264.1,2,5,1,5,11.0
12710,2011-09-04 12:00:00,4,1130.57,96,2,1,4,7.0
12712,2011-11-17 09:15:00,17,4241.63,22,4,1,5,10.0
12713,2011-12-09 12:16:00,1,848.55,0,5,1,3,9.0
12714,2011-11-30 15:43:00,5,4708.86,8,5,1,5,11.0
12715,2011-08-25 15:22:00,1,343.36,105,2,1,2,5.0
12716,2011-12-06 08:55:00,2,1053.49,3,5,1,4,10.0
12717,2011-07-11 14:51:00,3,980.98,150,2,1,4,7.0
12718,2011-09-29 16:38:00,1,238.25,70,3,1,2,6.0
12719,2011-12-04 13:45:00,3,608.1,4,5,1,3,9.0
12720,2011-12-07 08:03:00,29,5713.28,2,5,1,5,11.0
12721,2011-11-08 12:13:00,7,2628.98,31,4,1,5,10.0
12722,2011-09-15 14:50:00,6,904.33,84,2,1,4,7.0
12723,2011-12-06 10:19:00,5,725.07,3,5,1,3,9.0
12724,2011-12-04 16:02:00,4,1031.41,4,5,1,4,10.0
12725,2010-12-03 15:45:00,1,427.8,370,1,1,2,4.0
12726,2011-11-11 13:35:00,7,2609.1,27,4,1,5,10.0
12727,2011-11-29 11:46:00,9,3947.7000000000003,10,5,1,5,11.0
12728,2011-09-29 15:31:00,4,836.33,70,3,1,3,7.0
12729,2011-08-18 11:40:00,1,453.01,113,2,1,2,5.0
12731,2011-11-16 11:59:00,14,18793.41,23,4,1,5,10.0
12732,2011-06-13 11:33:00,1,236.26000000000002,179,1,1,2,4.0
12733,2011-04-19 16:19:00,1,383.95,233,1,1,2,4.0
12734,2010-12-22 12:47:00,1,110.39999999999999,352,1,1,1,3.0
12735,2011-01-28 13:37:00,2,779.5699999999999,314,1,1,3,5.0
12736,2011-01-11 07:57:00,1,234.0,332,1,1,2,4.0
12738,2010-12-02 18:27:00,1,155.35,371,1,1,1,3.0
12739,2011-09-22 13:00:00,2,1013.04,77,2,1,4,7.0
12740,2011-10-07 10:44:00,1,427.6,63,3,1,2,6.0
12743,2011-07-28 16:21:00,2,540.13,133,2,1,3,6.0
12744,2011-10-19 11:18:00,10,9120.39,51,3,1,5,9.0
12747,2011-12-07 14:34:00,11,4196.01,1,5,1,5,11.0
12748,2011-12-09 12:20:00,224,28405.56,0,5,1,5,11.0
12749,2011-12-06 09:56:00,8,3868.2,3,5,1,5,11.0
12750,2011-08-03 09:13:00,1,275.88,128,2,1,2,5.0
12752,2011-09-19 13:32:00,1,4366.78,80,2,1,5,8.0
12753,2011-12-06 11:40:00,11,21024.01,3,5,1,5,11.0
12754,2011-04-18 09:00:00,5,2949.12,235,1,1,5,7.0
12755,2011-04-04 10:12:00,4,2203.2000000000003,249,1,1,5,7.0
12756,2011-09-14 09:31:00,1,112.08,86,2,1,1,4.0
12757,2011-11-24 12:30:00,19,4205.25,15,4,1,5,10.0
12758,2011-08-15 10:22:00,2,2791.59,116,2,1,5,8.0
12759,2011-10-18 14:49:00,3,1531.44,51,3,1,4,8.0
12762,2011-12-02 10:23:00,2,1898.52,7,5,1,4,10.0
12763,2011-07-24 14:12:00,2,494.08,137,2,1,3,6.0
12764,2011-01-27 10:19:00,1,1693.88,316,1,1,4,6.0
12766,2011-12-06 08:46:00,7,6989.63,3,5,1,5,11.0
12769,2011-04-15 10:25:00,1,1143.6,238,1,1,4,6.0
12770,2011-05-13 09:33:00,1,1351.45,210,1,1,4,6.0
12772,2011-10-11 09:19:00,1,892.47,59,3,1,3,7.0
12775,2011-11-22 16:33:00,6,1351.24,16,4,1,4,9.0
12778,2011-11-20 11:39:00,7,804.23,19,4,1,3,8.0
12779,2011-11-18 17:10:00,12,3868.7,20,4,1,5,10.0
12781,2011-11-18 15:45:00,5,707.72,20,4,1,3,8.0
12782,2011-12-05 09:16:00,6,2273.32,4,5,1,5,11.0
12783,2011-12-07 15:56:00,8,1603.87,1,5,1,4,10.0
12784,2011-11-30 15:38:00,2,532.82,8,5,1,3,9.0
12785,2011-12-07 12:46:00,2,305.71,2,5,1,2,8.0
12787,2011-11-30 08:44:00,3,463.66,9,5,1,3,9.0
12789,2011-10-05 13:34:00,1,91.85,64,3,1,1,5.0
12790,2011-05-31 14:14:00,1,324.92,191,1,1,2,4.0
12791,2010-12-01 11:27:00,1,192.60000000000002,373,1,1,1,3.0
12792,2011-03-28 11:36:00,1,400.54,256,1,1,2,4.0
12793,2011-01-09 12:12:00,2,545.48,334,1,1,3,5.0
12794,2011-10-17 14:54:00,2,860.41,52,3,1,3,7.0
12795,2011-11-21 10:27:00,1,430.48,18,4,1,2,7.0
12797,2010-12-14 16:24:00,3,194.18,359,1,1,1,3.0
12798,2011-11-29 15:52:00,3,6977.04,9,5,1,5,11.0
12802,2011-06-09 09:44:00,2,412.58,183,1,1,2,4.0
12808,2011-11-03 10:05:00,3,483.65000000000003,36,3,1,3,7.0
12809,2011-06-24 15:15:00,2,484.36,167,2,1,3,6.0
12811,2011-03-24 09:42:00,3,514.85,260,1,1,3,5.0
12812,2011-10-26 09:54:00,1,229.64000000000001,44,3,1,1,5.0
12814,2011-08-30 12:11:00,1,125.92,101,2,1,1,4.0
12815,2011-07-15 10:21:00,2,1063.46,147,2,1,4,7.0
12816,2011-09-05 12:41:00,2,572.2,95,2,1,3,6.0
12817,2011-03-03 16:28:00,1,166.04000000000002,280,1,1,1,3.0
12818,2011-06-14 13:54:00,2,1517.88,177,2,1,4,7.0
12820,2011-12-06 15:12:00,4,942.34,2,5,1,4,10.0
12821,2011-05-09 15:51:00,1,92.72,213,1,1,1,3.0
12822,2011-09-30 10:04:00,3,918.98,70,3,1,4,8.0
12823,2011-09-26 07:35:00,5,1759.5,74,2,1,4,7.0
12824,2011-10-11 12:49:00,1,397.12,59,3,1,2,6.0
12826,2011-12-07 10:25:00,8,1468.1200000000001,2,5,1,4,10.0
12827,2011-12-04 12:17:00,3,430.15,5,5,1,2,8.0
12828,2011-12-07 08:45:00,6,1018.71,2,5,1,4,10.0
12829,2011-01-21 12:56:00,3,253.05,321,1,1,2,4.0
12830,2011-11-02 11:54:00,7,6748.4,37,3,1,5,9.0
12831,2011-03-22 13:02:00,1,215.05,261,1,1,1,3.0
12832,2011-11-07 13:30:00,2,383.03000000000003,31,4,1,2,7.0
12833,2011-07-17 13:46:00,1,417.38,144,2,1,2,5.0
12834,2011-03-02 09:49:00,1,312.38,282,1,1,2,4.0
12836,2011-10-11 15:10:00,4,2610.36,58,3,1,5,9.0
12837,2011-06-19 16:07:00,1,134.1,172,2,1,1,4.0
12838,2011-11-06 12:20:00,2,671.95,33,3,1,3,7.0
